statement,link
 ఇటీవల ఉపఎన్నిక జరిగిన అసెంబ్లీ స్థానాలలో 6 NDA సిట్టింగ్ స్థానాలు కాగా^ ఇప్పుడు NDA 15 (+9) స్థానాలు గెలుచుకుంది; అదేవిధంగా UPA 11 సిట్టింగ్ స్థానాల నుండి 8 (-3)కి పడిపోయింది.,https://factly.in/telugu-these-details-regarding-the-recently-released-by-election-results-are-incorrect/
 రాష్ట్రాలు చేస్తున్న అప్పులను నియంత్రించేందుకు కేంద్ర ప్రభుత్వం తీసుకురానున్న కొత్త చట్టం యొక్క వివరాలు.ఫాక్ట్(నిజం): ఇటీవల కాలంలో కేంద్ర^ రాష్ట్ర ప్రభుత్వాలు FRBM పరిమితులను దాటి అప్పులు చేస్తున్నాయి. ఐతే ఇలా ప్రభుత్వాలు చేసిన అప్పులను ప్రజాప్రతినిధుల సొంత ఆస్తుల నుండి చెల్లించాలని చెప్పే చట్టమేది లేదు. అలాంటి ప్రతిపాదన ఉన్నట్టు కూడా ఎలాంటి సమాచారం లేదు. ప్రస్తుతానికి ప్రభుత్వాలు చేసిన అప్పులు రాష్ట్ర ఖజానా నుండే చెల్లిస్తారు. కావున పోస్టు ద్వారా చెప్పేది తప్పు.,https://factly.in/telugu-no-law-to-recover-government-debt-from-private-assets-of-mps-mlas/
 భారత దేశానికి స్వాతంత్ర్యం తెచ్చింది ముహమ్మద్ అలీ జిన్నా అని సమాజ్‌వాది పార్టీ అధినేత అఖిలేష్ యాదవ్ అన్నాడు. ఫాక్ట్ (నిజం): సమాజ్‌వాది పార్టీ అధినేత అఖిలేష్ యాదవ్ ఇటీవల ఉత్తరప్రదేశ్ లోని హర్దోయ్ నగరంలో నిర్వహించిన బహిరంగ సభలో పాకిస్తాన్ జాతి పిత ముహమ్మద్ అలీ జిన్నాని భారత స్వాతంత్ర్య ఉద్యమకారులు సర్దార్ వల్లభాయ్ పటేల్^ మహాత్మా గాంధీ^ జవహర్‌లాల్ నెహ్రులతో పోల్చారు. వీరందరూ ఒకే విద్యాసంస్థలో చదువుకొని^ బారిస్టర్ పట్టా పొంది^ భారత స్వాతంత్ర్యం కోసం పోరాటం చేసారని అఖిలేష్ యాదవ్ పేర్కొన్నారు.  కానీ^ భారత దేశానికి స్వాతంత్ర్యం తెచ్చింది ముహమ్మద్ అలీ జిన్నా అని అఖిలేష్ యాదవ్ అనలేదు. కావున^ పోస్టులో చేస్తున్న క్లెయిమ్ తప్పుదోవ పట్టించేలా ఉంది.,https://factly.in/telugu-akhilesh-yadav-did-not-say-jinnah-got-india-independence/
 పునీత్ రాజ్‌కుమార్ మరణానికి సంబంధించి డాక్టర్ దేవి శెట్టి యొక్క సందేశం.,https://factly.in/telugu-this-message-in-relation-to-puneeth-rajkumars-death-is-not-given-by-dr-devi-shetty/
 నరేంద్ర మోదీ టీ అమ్మానని చెప్పుకునే వాద్‌నగర్ రైల్వే స్టేషన్‌ని 1973లో నిర్మించారు. అంతకు ముందు ఆ స్టేషన్ లేదు.,https://factly.in/telugu-vadnagar-railway-station-where-pm-modi-had-supposedly-sold-tea-was-built-in-1887-not-1973/
 త్రిపురలో ముస్లిం నివాసాలకు హిందువులు నిప్పంటించిన దృశ్యాలు.,https://factly.in/telugu-old-video-of-massive-fires-in-bangladesh-rohingya-camp-is-being-linked-to-tripura-clashes/
 హుజూరాబాద్‌లో ఉప ఎన్నిక పూర్తి కాకముందే ఓటమిని అంగీకరిస్తూ^ టిఆర్ఎస్ పార్టీ ఓటమికి నైతిక బాధ్యత వహిస్తున్నట్టు మీడియా ముందు హరీష్ రావు ప్రకటించాడు.,https://factly.in/telugu-an-old-video-is-being-shared-that-harish-rao-has-conceded-defeat-before-the-by-election-in-huzurabad/
 భారతీయ పంచాంగం^ భారతీయ సాంప్రదాయ పద్దతులని నాసా (NASA)^ జర్మన్ శాస్త్రవేత్తలు కొనియాడారు.,https://factly.in/telugu-scientists-have-not-made-such-comments-praising-indian-astrology-and-traditions/
 భారత్-పాక్ క్రికెట్ మ్యాచ్‌లో పాక్ గెలుపుని ఆస్వాదిస్తూ బీసీసీఐ సెక్రటరీ జై షా^ బాలీవుడ్ నటుడు అక్షయ్ కుమార్ సంబరాలు చేసుకుంటున్న దృశ్యాలు.,https://factly.in/telugu-these-visuals-doesnt-show-jay-shah-and-akshay-kumar-did-not-celebrate-pakistans-victory/
